"crop","sum","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Rice","87.4292348549446397","Tamil Nadu",2004,"2.8","0.7","3","16.2","101.1","21.2","98.6","85.1","208.3","271.1","204.5","25","1037.6","10.90943","78.36653000000003"
"Urad","5.6873243434607147","Himachal Pradesh",2008,"129.9","63.2","6.3","44.4","42.9","187.3","194.9","224.7","142.6","33.9","5.3","38.9","1114.3000000000004","31.81676","77.34931999999998"
"Rice","84.6734071296040796","Bihar",2004,"22.7","2.1","2.2","32","72.7","246.8","418.4","175.9","115.3","56.4","3.1","0","1147.6","25.64408","85.90651"
"Urad","2.0013157894736842","Punjab",1999,"43.4","5.6","4.3","0","22.6","35.6","139.6","82","30.7","0.5","0.1","0.2","364.6","30.92932","75.50048000000002"
"Rice","56.8477073652989203","Telangana",2013,"2.4","29","0.2","24.4","8.5","213.4","453.8","230.6","161.4","205.9","16.4","2.7","1348.7000000000005","17.84959","79.11516999999998"
"Moong(Green Gram)","7.8919962114802034","Chhattisgarh",2010,"7.9","4.9","1","5.9","12.6","102.6","426.8","340.3","302.5","54.3","20.2","27.6","1306.6","21.66374","81.84064000000002"
"Urad","13.3665851809756369","Uttarakhand",2016,"5.4","29.3","45.8","9.9","99.3","174.4","508.4","308.5","111.4","12.7","0","3.5","1308.6","30.04174","79.08969"
"Urad","42.6462108309896696","Telangana",2017,"0","0","8.7","3.2","22.4","202.2","143.2","204.2","115.3","114.6","1.9","0","815.6999999999997","17.84959","79.11516999999998"
"Rice","204.4164280303646253","Telangana",2016,"1.2","0.2","11.5","4.3","55.1","194","235.8","133.7","336.3","70.4","0.5","0.4","1043.4","17.84959","79.11516999999998"
"Maize","23.4398360052507699","Uttarakhand",2011,"30.9","65.2","18","30.9","84.2","223.1","433.3","523.7","148.4","3.4","1.2","2.3","1564.6","30.04174","79.08969"
"Maize","35.8225907221305946","Tamil Nadu",2000,"30.3","74.5","9.4","41.6","54.7","52.2","45.8","136.1","169.8","120.3","148.6","88.9","972.2","10.90943","78.36653000000003"
"Rice","85.0242191566361502","Kerala",2000,"11.7","57.8","21.5","96.3","124.5","633.8","343.2","566.5","195.8","214.2","78.1","69.1","2412.4999999999995","10.35287","76.51204"
"Rice","78.7726161007566154","Kerala",1998,"6","2.1","8.1","61.1","151.6","732.5","641.4","371.8","517.6","444.8","135","79.4","3151.4","10.35287","76.51204"
"Moong(Green Gram)","34.5130058798209472","Bihar",2004,"22.7","2.1","2.2","32","72.7","246.8","418.4","175.9","115.3","56.4","3.1","0","1147.6","25.64408","85.90651"
